,Packet Loss (%)
0,50.6
1,50.7
2,50.6
3,50.6
4,50.5
5,50.4
6,50.5
7,50.5
8,50.4
9,50.4
10,50.3
11,50.4
12,50.4
13,50.5
14,50.5
15,50.4
16,50.4
17,50.4
18,50.5
19,50.4
20,50.5
21,50.5
22,50.5
23,50.6
24,50.6
25,50.5
26,50.5
27,50.6
28,50.6
29,50.7
30,50.7
31,50.7
32,50.7
33,50.7
34,50.6
35,50.7
36,50.6
37,50.5
38,50.5
39,50.6
40,50.7
41,50.8
42,50.9
43,50.8
44,50.8
45,50.8
46,50.8
47,50.8
48,50.8
49,50.8
50,50.8
51,50.9
52,50.9
53,50.9
54,50.9
55,50.9
56,50.9
57,51.0
58,51.1
59,51.2
60,51.2
61,51.1
62,51.1
63,51.2
64,51.1
65,51.1
66,51.1
67,51.2
68,51.2
69,51.1
70,51.2
71,51.2
72,51.2
73,51.2
74,51.2
75,51.1
76,51.1
77,51.1
78,51.2
79,51.2
80,51.2
81,51.2
82,51.2
83,51.300000000000004
84,51.300000000000004
85,51.2
86,51.300000000000004
87,51.4
88,51.4
89,51.4
90,51.4
91,51.300000000000004
92,51.4
93,51.4
94,51.300000000000004
95,51.300000000000004
96,51.4
97,51.4
98,51.5
99,51.5
100,51.5
101,51.5
102,51.5
103,51.5
104,51.4
105,51.4
106,51.4
107,51.5
108,51.5
109,51.6
110,51.7
111,51.800000000000004
112,51.9
113,51.9
114,51.9
115,51.9
116,52.0
117,52.0
118,52.1
119,52.2
120,52.1
121,52.2
122,52.2
123,52.2
124,52.300000000000004
125,52.300000000000004
126,52.400000000000006
127,52.300000000000004
128,52.400000000000006
129,52.400000000000006
130,52.5
131,52.5
132,52.5
133,52.5
134,52.5
135,52.6
136,52.6
137,52.7
138,52.6
139,52.6
140,52.5
141,52.6
142,52.6
143,52.6
144,52.6
145,52.6
146,52.6
147,52.7
148,52.6
149,52.6
150,52.5
151,52.6
152,52.6
153,52.6
154,52.6
155,52.6
156,52.6
157,52.7
158,52.800000000000004
159,52.900000000000006
