Time,Message
707059.4248882,"0.00
"
707059.4259159,"0.00
"
707059.4276821,"0.00
"
707059.428458,"0.00
"
707059.429717,"0.00
"
707059.4310181,"0.00
"
707059.4323521,"0.00
"
707059.4336561,"0.00
"
707059.4349409,"0.00
"
707059.4361162,"0.00
"
707059.4377447,"0.00
"
707059.4387995,"0.00
"
707059.4401989,"0.00
"
707059.4414117,"0.00
"
707059.4428129,"0.00
"
707059.4441049,"0.00
"
707059.4454488,"0.00
"
707059.4466858,"0.00
"
707059.447859,"0.00
"
707059.449181,"0.00
"
707059.4505882,"0.00
"
707059.4516999,"0.00
"
707059.4531154,"0.00
"
707059.4544693,"0.00
"
707059.4555866,"0.00
"
707059.457022,"0.00
"
707059.4582978,"0.00
"
707059.459574,"0.00
"
707059.4609278,"0.00
"
707059.4622479,"0.00
"
707059.4634184,"0.00
"
707059.4646681,"0.00
"
707059.4660491,"0.00
"
707059.4672334,"0.00
"
707059.4685583,"0.00
"
707059.4699372,"0.00
"
707059.4713226,"0.00
"
707059.4724037,"0.00
"
707059.4736688,"0.00
"
707059.4750066,"0.00
"
707059.4763259,"0.00
"
707059.4780111,"0.00
"
707059.4790426,"0.00
"
707059.4802804,"0.00
"
707059.4815901,"0.00
"
707059.4829846,"0.00
"
707059.4841986,"0.00
"
707059.4854649,"0.00
"
707059.4866274,"0.00
"
707059.4881037,"0.00
"
707059.4893243,"0.00
"
707059.4906977,"0.00
"
707059.4920097,"0.00
"
707059.4933126,"0.00
"
707059.4947258,"0.00
"
707059.4958089,"0.00
"
707059.4971999,"0.00
"
707059.4983831,"0.00
"
707059.4996488,"0.00
"
707059.5010007,"0.00
"
707059.5022906,"0.00
"
707059.503585,"0.00
"
707059.5047977,"0.00
"
707059.5061495,"0.00
"
707059.5074034,"0.00
"
707059.5087063,"0.00
"
707059.5099879,"0.00
"
707059.5113638,"0.00
"
707059.5127135,"0.00
"
707059.5139717,"0.00
"
707059.5152422,"0.00
"
707059.5164702,"0.00
"
707059.5178238,"0.00
"
707059.5191388,"0.00
"
707059.5203422,"0.00
"
707059.521664,"0.00
"
707059.5230057,"0.00
"
707059.5243193,"0.00
"
707059.5256011,"0.00
"
707059.5269329,"0.00
"
707059.5280548,"0.00
"
707059.5295602,"0.00
"
707059.5308626,"0.00
"
707059.5320572,"0.00
"
707059.5333398,"0.00
"
707059.5345997,"0.00
"
707059.5358998,"0.00
"
707059.5371198,"0.00
"
707059.5384953,"0.00
"
707059.5399434,"0.00
"
707059.5412097,"0.00
"
707059.5425074,"0.00
"
707059.543787,"0.00
"
707059.5449934,"0.00
"
707059.5463809,"0.00
"
707059.5474884,"0.00
"
707059.5489682,"0.00
"
707059.5502621,"0.00
"
707059.5515784,"0.00
"
707059.5528267,"0.00
"
707059.5540763,"0.00
"
707059.5552749,"0.00
"
707059.5567419,"0.00
"
707059.5580211,"0.00
"
707059.5593312,"0.00
"
707059.5605398,"0.00
"
707059.5619187,"0.00
"
707059.5632058,"0.00
"
707059.5643105,"0.00
"
707059.5659592,"0.00
"
707059.5672578,"0.00
"
707059.5685523,"0.00
"
707059.5698239,"0.00
"
707059.5711292,"0.00
"
707059.5721896,"0.00
"
707059.5734776,"0.00
"
707059.5748264,"0.00
"
707059.5762914,"0.00
"
707059.5776056,"0.00
"
707059.5789058,"0.00
"
707059.579998,"0.00
"
707059.5814771,"0.00
"
707059.582828,"0.00
"
707059.5841004,"0.00
"
707059.5853934,"0.00
"
707059.5867511,"0.00
"
707059.5879034,"0.00
"
707059.589272,"0.00
"
707059.5905812,"0.00
"
707059.5918508,"0.00
"
